wpi_number,name,lat,lon,type
7590.0,Norwalk,41.1,-73.416667,port
2670.0,Cardinal,44.783333,-75.38333299999998,port
9030.0,Haymark Terminal,30.133333,-93.316667,port
8990.0,Grand Isle,29.233333,-90.0,port
7100.0,Gardiner,44.233333,-69.766667,port
7130.0,Cundy Harbor,43.783333,-69.9,port
7990.0,Leonardo,40.433333,-74.06666699999998,port
2560.0,Coteau Landing,45.25,-74.2,port
2620.0,Cornwall,45.016667,-74.733333,port
2680.0,Lower Lakes Terminal,44.733333,-75.466667,port
16400.0,Oleum,38.05,-122.266667,port
16385.0,Sausalito,37.85,-122.483333,port
3250.0,Port Colborne,42.883333,-79.25,port
15995.0,Rosarito,32.366667,-117.1,port
9220.0,Pasadena,29.716667,-95.216667,port
8667.0,Port Manatee,27.633333,-82.56666699999998,port
16590.0,Sacramento,38.583333,-121.5,port
8670.0,Tampa,27.916667,-82.45,port
9280.0,Port Oconnor,28.45,-96.4,port
16560.0,Walnut Grove,38.233333,-121.516667,port
8630.0,Port Everglades,26.1,-80.116667,port
3070.0,Port Weller,43.233333,-79.216667,port
16120.0,Port Hueneme,34.15,-119.2,port
3090.0,Welland,43.0,-79.25,port
8530.0,Savannah,32.083333,-81.08333299999998,port
2220.0,Sorel,46.05,-73.116667,port
2975.0,Contrecour,45.883333,-73.2,port
2740.0,Kingston,44.233333,-76.5,port
2550.0,Beauharnois,45.316667,-73.88333299999998,port
2590.0,St Anicet,45.133333,-74.366667,port
2570.0,St Zotique,45.25,-74.25,port
2730.0,Wolfe Island,44.2,-76.433333,port
2600.0,South Lancaster,45.133333,-74.5,port
7920.0,Chrome,40.566667,-74.216667,port
7895.0,Bayway,40.633333,-74.2,port
7690.0,Catskill,42.216667,-73.84999999999998,port
7680.0,Kingston,41.933333,-73.966667,port
7660.0,Newburgh,41.5,-74.0,port
6770.0,Bass Harbor,44.233333,-68.35,port
16410.0,Mare Island,38.1,-122.266667,port
9250.0,Freeport,28.95,-95.333333,port
8790.0,Biloxi,30.383333,-88.88333299999998,port
7410.0,Bristol,41.666667,-71.266667,port
8850.0,Gretna,29.916667,-90.06666699999998,port
6790.0,Brooklin,44.266667,-68.583333,port
6850.0,North Haven,44.133333,-68.866667,port
8040.0,Deepwater Point,39.7,-75.516667,port
8200.0,Havre De Grace,39.533333,-76.08333299999998,port
8895.0,Convent,30.016667,-90.833333,port
16550.0,Isleton,38.166667,-121.6,port
7120.0,Augusta,44.316667,-69.766667,port
7220.0,Beverly,42.533333,-70.883333,port
16570.0,Courtland,38.333333,-121.566667,port
8740.0,Port St Joe,29.816667,-85.31666699999998,port
8920.0,St Rose,29.95,-90.316667,port
9310.0,Port Aransas,27.833333,-97.05,port
9320.0,Port Ingleside,27.816667,-97.183333,port
6760.0,Swans Island,44.133333,-68.45,port
16270.0,Santa Cruz,36.966667,-122.016667,port
8930.0,Reserve,30.05,-90.55,port
16370.0,Point Richmond,37.916667,-122.366667,port
6690.0,Sorrento,44.466667,-68.183333,port
8893.0,St. James,29.9792,-90.8275,port
16520.0,Stockton,37.95,-121.3,port
7030.0,South Bristol,43.866667,-69.55,port
16540.0,Rio Vista,38.15,-121.7,port
6990.0,Thomaston,44.066667,-69.183333,port
7140.0,South Harpswell,43.733333,-70.016667,port
16190.0,Pismo Beach,35.133333,-120.65,port
16380.0,Point San Pablo,37.966667,-122.433333,port
6720.0,Southwest Harbor,44.283333,-68.316667,port
7940.0,Sewaren,40.55,-74.25,port
16390.0,Pinole Point,38.016667,-122.366667,port
7580.0,Southport,41.133333,-73.283333,port
7760.0,Weehawken,40.766667,-74.016667,port
7730.0,Rensselaer,42.65,-73.75,port
7670.0,Poughkeepsie,41.7,-73.95,port
7650.0,Yonkers,40.933333,-73.9,port
15880.0,Isla San Marcos,27.183333,-112.1,port
15870.0,Santa Rosalia,27.333333,-112.283333,port
6920.0,Belfast,44.416667,-69.0,port
15920.0,La Paz,24.166667,-110.316667,port
15975.0,Puerto Morro Redondo,28.05,-115.183333,port
7870.0,Gulfport SI,40.633333,-74.2,port
10006.0,Cockburn Town,24.05,-74.533333,port
7850.0,Port Richmond SI,40.65,-74.13333299999998,port
7860.0,Mariners Harbor SI,40.633333,-74.166667,port
16650.0,Fort Bragg,39.45,-123.816667,port
16060.0,Newport Beach,33.616667,-117.9,port
16110.0,El Segundo,33.916667,-118.433333,port
16515.0,Antioch,38.016667,-121.8,port
6840.0,Vinalhaven,44.05,-68.833333,port
16200.0,Port San Luis,35.166667,-120.75,port
8810.0,Slidell,30.266667,-89.783333,port
16030.0,Wilson Cove,33.0,-118.55,port
16510.0,Pittsburg,38.033333,-121.883333,port
8050.0,Wilmington,39.733333,-75.54999999999998,port
7405.0,Tiverton,41.633333,-71.216667,port
7980.0,South Amboy,40.483333,-74.266667,port
8115.0,Paulsboro,39.85,-75.25,port
