gppd_idnr,name,lat,lon,capacity_mw,primary_fuel,type
CAN0007595,13th Side Road,42.855,-80.3607,9.5,Solar,solar
CAN0007597,Aberfeldie,49.4933,-115.3624,24.0,Hydro,hydro
CAN0002096,Abitibi Canyon,49.8822,-81.567,349.0,Hydro,hydro
CAN0007596,Abénaquis,45.4052,-71.8932,2.1,Hydro,hydro
CAN0007599,Adam-Cunningham,48.6581,-71.1708,7.0,Hydro,hydro
CAN0007600,Adelaide,42.9877,-81.7068,59.9,Wind,wind
CAN0007601,Adelaide (Suncor),43.0184,-81.7392,40.0,Wind,wind
CAN0007602,Adelaide 1,42.9585,-81.6708,10.0,Solar,solar
CAN0007604,Aguasabon,48.7867,-87.161,45.0,Hydro,hydro
CAN0007607,Alderville 3,44.1939,-78.0946,5.0,Solar,solar
CAN0007608,Alexander,49.1355,-88.358,69.0,Hydro,hydro
CAN0007609,Alfred,45.54,-74.8878,10.0,Solar,solar
CAN1060003,Algoma Cogeneration,49.5244,-84.3712,63.0,Gas,gas
CAN0007610,Almonte,45.2258,-76.1981,5.0,Hydro,hydro
CAN0007613,Amherstburg Solar,42.1449,-83.0769,10.0,Solar,solar
CAN0007614,Amherstburg-1,42.1637,-83.0807,20.0,Solar,solar
CAN0007615,Amherstburg-2,42.169,-83.0876,15.0,Solar,solar
CAN0007616,Andrews,47.2386,-84.6461,47.0,Hydro,hydro
CAN0007617,Annacis Island Wwtp,49.1668,-122.9497,3.2,Biomass,biomass
CAN0007619,Appleton,45.1829,-76.1267,1.4,Hydro,hydro
CAN0007620,Ardenville,49.583,-113.4351,69.0,Wind,wind
CAN0007621,Aria,44.629,-79.8493,9.0,Solar,solar
CAN0002098,Armow,44.2044,-81.4574,180.0,Wind,wind
CAN0007624,Arnprior,45.4187,-76.347,82.0,Hydro,hydro
CAN0007625,Arnprior Solar,45.4083,-76.275,23.4,Solar,solar
CAN0002099,Arrow Lakes,49.343,-117.7688,185.0,Hydro,hydro
CAN0007627,Arthur,43.8478,-80.5152,10.0,Wind,wind
CAN0007629,Ashlu Creek,49.9143,-123.325,49.9,Hydro,hydro
CAN0007630,Atholville,47.9927,-66.7225,21.0,Biomass,biomass
CAN0002100,Atikokan-G1,48.8381,-91.5708,215.0,Biomass,biomass
CAN0002101,Aubrey Falls,46.9095,-83.2129,162.0,Hydro,hydro
CAN0007633,Auburn,44.3235,-78.314,2.0,Hydro,hydro
CAN0007637,Ayers-1,45.6367,-74.3605,4.8,Hydro,hydro
CAN0007638,Ayers-2,45.6436,-74.3539,1.0,Hydro,hydro
CAN0002102,Baie-des-Sables,48.7066,-67.8841,109.5,Wind,wind
CAN0007640,Balsam Lake,44.651,-78.7587,3.0,Solar,solar
CAN0007643,Barrage-Larocque,45.4791,-71.9532,10.6,Hydro,hydro
CAN0002103,Barrett Chute,45.2499,-76.759,176.0,Hydro,hydro
CAN0007648,Batawa,44.1685,-77.5881,5.0,Hydro,hydro
CAN0002023,Bayside Power,45.2753,-66.0263,290.0,Gas,gas
CAN0007650,Beamlight,44.2588,-79.293,10.0,Solar,solar
CAN0007652,Beare Road LFG,43.8233,-79.1639,5.0,Biomass,biomass
CAN0002106,Beauharnois,45.3141,-73.9088,1877.0,Hydro,hydro
CAN0002107,Beaumont,47.5561,-72.8362,270.0,Hydro,hydro
CAN0007657,Becker Cogeneration,49.2105,-84.6673,15.0,Biomass,biomass
CAN0002108,Beechwood,46.5428,-67.6687,112.0,Hydro,hydro
CAN0007659,Belding,45.146,-71.8078,1.6,Hydro,hydro
CAN0007660,Belle-Rivière,48.4417,-71.7389,1.0,Hydro,hydro
CAN0007661,Belleterre,47.5739,-78.5576,2.2,Hydro,hydro
CAN0007662,Belleville TS Demorestville,44.0652,-77.2579,10.0,Solar,solar
CAN0007663,Belly River,49.315,-113.5743,3.0,Hydro,hydro
CAN0007664,Belmont,42.8913,-81.1134,20.0,Solar,solar
CAN0007665,Bensfort Road LFG,44.2271,-78.2873,1.6,Biomass,biomass
CAN0002109,Bersimis-1,49.2947,-69.5514,1178.0,Hydro,hydro
CAN0002110,Bersimis-2,49.1754,-69.2263,869.0,Hydro,hydro
CAN0007669,Big Beaver Falls,49.2998,-82.5273,5.5,Hydro,hydro
CAN0007670,Big Chute,44.8843,-79.6761,10.0,Hydro,hydro
CAN0007671,Big Eddy,45.0206,-79.753,8.0,Hydro,hydro
CAN0007672,Big Eddy Inco,46.3839,-81.5781,27.6,Hydro,hydro
CAN0007674,Big Silver Creek,49.693,-121.8591,40.6,Hydro,hydro
CAN0007676,Bingham Chute,46.0761,-79.3968,1.0,Hydro,hydro
CAN0007677,Bird-1-2,46.7489,-71.7104,4.8,Hydro,hydro
CAN0007679,Bisnett Line,42.2787,-81.9917,9.0,Wind,wind
CAN0007680,Black Bay 2,48.9428,-88.3141,1.0,Solar,solar
CAN0007681,Black Pond,43.7516,-66.0204,2.0,Wind,wind
CAN0007683,Blue Trail,49.6687,-113.4522,66.0,Wind,wind
CAN0007684,Bluearth Little Creek,44.2044,-76.9251,8.5,Solar,solar
CAN0007686,Bluewater,43.4846,-81.6282,59.2,Wind,wind
CAN0007688,Bonnington Falls,49.4582,-117.4854,16.2,Hydro,hydro
CAN0007689,Bornish,43.1128,-81.7024,72.9,Wind,wind
CAN0007690,Boston Bar,49.8113,-121.4585,9.0,Hydro,hydro
CAN0002027,Boundary Dam,49.0961,-103.0305,672.0,Coal,coal
CAN0007691,Bow Lake,47.2214,-84.5235,58.3,Wind,wind
CAN0008578,Box Canyon,49.6006,-123.4267,15.0,Hydro,hydro
CAN0007693,Bracebridge Falls,45.0388,-79.3086,1.9,Hydro,hydro
CAN0007694,Brampton Biomass,43.697,-79.6825,15.1,Biomass,biomass
CAN0002028,Brandon,49.8449,-99.8902,385.0,Gas,gas
CAN1060098,Brandon,49.8453,-99.8918,98.0,Coal,coal
CAN0008579,Brandywine Creek Small Hydro,49.9783,-123.1417,8.0,Hydro,hydro
CAN0007697,Breen 2,42.9854,-80.9604,10.0,Solar,solar
CAN0008580,Brenton Community Wind Project,43.974,-66.0826,2.0,Wind,wind
CAN0002029,Brighton Beach,42.2798,-83.0946,541.3,Gas,gas
CAN0002116,Brilliant,49.3249,-117.6207,140.0,Hydro,hydro
CAN0002117,Brilliant Expansion 1,49.3231,-117.6198,120.0,Hydro,hydro
CAN0007703,Britannia LFG,43.6067,-79.6972,5.5,Biomass,biomass
CAN0007704,Brockville 1,44.6329,-75.6982,10.0,Solar,solar
CAN0007705,Brockville 2,44.6301,-75.8033,9.0,Solar,solar
CAN0007706,Brockville Solar,44.5939,-75.7354,10.0,Solar,solar
CAN0007707,Brompton Biomass Cogeneration,45.4807,-71.9524,26.0,Biomass,biomass
CAN0002030,Bruce A,44.3391,-81.5747,3220.0,Nuclear,nuclear
CAN0002031,Bruce B,44.319,-81.6027,3390.0,Nuclear,nuclear
CAN0007710,Bryson,45.6611,-76.6318,56.0,Hydro,hydro
CAN0007712,Buckingham,45.5895,-75.4223,11.2,Hydro,hydro
CAN0007714,Burk's Falls,45.6198,-79.4118,1.1,Hydro,hydro
CAN0007715,Burns Bog LFG,49.0977,-123.0159,8.0,Biomass,biomass
CAN0002033,Burrard,49.2988,-122.8906,950.0,Gas,gas
CAN0007716,Burritts Rapids,44.9778,-75.8198,7.0,Solar,solar
CAN0007653,Béarn Sawmill,47.2847,-79.3356,7.0,Biomass,biomass
CAN0002024,Bécancour,46.3675,-72.4037,507.0,Gas,gas
CAN0002025,Bécancour (HQ),46.3919,-72.3523,411.0,Gas,gas
CAN0007668,Bésy,48.4403,-71.2467,18.4,Hydro,hydro
CAN0007717,Calabogie,45.3047,-76.7087,5.0,Hydro,hydro
CAN0007718,Calm Lake,48.7937,-92.154,8.8,Hydro,hydro
CAN0007719,Calstock,49.7456,-84.0736,38.0,Biomass,biomass
CAN0007720,Cameron Falls - BRP,46.2822,-82.1493,4.2,Hydro,hydro
CAN0007721,Cameron Falls - OPG,49.1536,-88.3457,92.0,Hydro,hydro
CAN0007722,Camp Three Rapids,49.2964,-82.5373,5.5,Hydro,hydro
CAN0007723,Campbellford,44.3351,-77.7725,2.0,Hydro,hydro
CAN0002035,Cardinal,44.7846,-75.3779,156.3,Gas,gas
CAN0007727,Caribou,47.5071,-66.4135,99.0,Wind,wind
CAN0002119,Carillon,45.5687,-74.383,753.0,Hydro,hydro
CAN0002120,Carleton,48.2065,-66.139,109.5,Wind,wind
CAN0007731,Carmichael,49.1458,-82.0308,20.0,Hydro,hydro
CAN0007733,Cascade Street,45.3504,-80.0267,1.2,Hydro,hydro
CAN0007734,Castle River,49.516,-114.0276,39.5,Wind,wind
CAN0007735,Castle Rock Ridge,49.5561,-113.963,75.9,Wind,wind
CAN0007737,Catalyst Paper Crofton,48.8757,-123.65,38.0,Biomass,biomass
CAN0007738,Catalyst Paper Port Alberni,49.2474,-124.8112,17.0,Biomass,biomass
CAN0002122,Cedar Point,43.0828,-82.0528,100.0,Wind,wind
CAN0007740,Cedar Road LFG,49.1184,-123.8964,1.4,Biomass,biomass
CAN0008585,Centrale Hydro-Canyon Saint-Joachim,47.072,-70.877,23.2,Hydro,hydro
CAN0008586,Centrale Lefrançois,46.4235,-72.9684,7.9,Hydro,hydro
CAN0008587,Centrale Val-Jalbert,48.4334,-72.1672,16.0,Hydro,hydro
CAN0007742,Chapais,49.7709,-74.8568,28.0,Biomass,biomass
CAN0007743,Chapleau Cogeneration,47.8431,-83.428,7.2,Biomass,biomass
CAN0002124,Chatham,42.2065,-82.3226,101.2,Wind,wind
CAN0002261,Chats Fall / Chute-des-Chats,45.4752,-76.2382,192.0,Hydro,hydro
CAN0007746,Chaudiere 2,45.4191,-75.7139,8.4,Hydro,hydro
CAN0007747,Chaudiere 4,45.4204,-75.7149,9.3,Hydro,hydro
CAN0002125,Cheakamus,49.9337,-123.291,158.0,Hydro,hydro
CAN0002126,Chelsea,45.5125,-75.7775,152.0,Hydro,hydro
CAN0002127,Chenaux,45.5838,-76.6738,144.0,Hydro,hydro
CAN0007752,Chiblow Lake,46.3126,-83.0655,1.7,Hydro,hydro
CAN0007753,Chicoutimi,48.4262,-71.0763,8.2,Hydro,hydro
CAN0007754,Chin Chute,49.6933,-112.3292,30.0,Wind,wind
CAN0007755,Chin Hydro Plant,49.6756,-112.3446,11.0,Hydro,hydro
CAN0007756,China Creek,49.1856,-124.7395,6.5,Hydro,hydro
CAN0008590,Chute,47.84,-80.4486,3.0,Hydro,hydro
CAN0007758,Chute Garneau,48.3864,-71.1289,5.3,Hydro,hydro
CAN0007761,Chute-Allard,47.8929,-73.7183,62.0,Hydro,hydro
CAN0007763,Chute-Bell,45.774,-74.6844,10.0,Hydro,hydro
CAN0007764,Chute-Blanche,48.8425,-72.0661,1.4,Hydro,hydro
CAN0007765,Chute-Burroughs,45.1463,-72.0186,1.6,Hydro,hydro
CAN0007768,Chute-Hemmings,45.8632,-72.4502,29.0,Hydro,hydro
CAN0007762,Chute-aux-Galets,48.6511,-71.2034,13.6,Hydro,hydro
CAN0002131,Chute-des-Passes,49.8374,-71.1665,854.4,Hydro,hydro
CAN0002132,Chute-du-Diable,48.7807,-71.6974,305.8,Hydro,hydro
CAN0002129,Chute-à-Caron,48.4506,-71.2536,224.0,Hydro,hydro
CAN0002130,Chute-à-la-Savane,48.7536,-71.8395,258.0,Hydro,hydro
CAN0007769,Chutes à Thompson,49.3083,-67.86,9.9,Hydro,hydro
CAN0007771,Chutes-de-la-Chaudière,46.7154,-71.285,25.0,Hydro,hydro
CAN0007770,Chutes-à-Gorry,46.7904,-72.0082,10.8,Hydro,hydro
CAN0007772,Citylights,45.1563,-75.2245,10.0,Solar,solar
CAN0007774,Clear Creek,42.5879,-80.5722,9.9,Wind,wind
CAN0007775,Clergue,46.5148,-84.3472,52.0,Hydro,hydro
CAN0007777,Clowhom,49.7109,-123.5321,33.0,Hydro,hydro
CAN0002040,Coleson Cove,45.1538,-66.2023,972.0,Oil,oil
CAN0002133,Comber East / West,42.2195,-82.5614,165.6,Wind,wind
CAN0007779,Conestogo,43.7943,-80.5888,22.9,Wind,wind
CAN0007780,Coniston,46.4746,-80.8183,4.0,Hydro,hydro
CAN0007782,Cornwall,45.1024,-74.6899,10.0,Solar,solar
CAN0007783,Corra Linn,49.4689,-117.4686,51.0,Hydro,hydro
CAN0007787,Cowley North,49.5619,-114.1075,19.5,Wind,wind
CAN0007789,Crowe Bay,44.3353,-77.7723,2.0,Hydro,hydro
CAN0008592,Crowsnest Pass ERG,49.6474,-114.7151,11.0,Other,other
CAN0007790,Cruickshank,44.2478,-81.5714,8.3,Wind,wind
CAN0007791,Crystal Falls,46.4501,-79.8629,8.0,Hydro,hydro
CAN0008593,Culliton Creek,49.8772,-123.1599,15.0,Hydro,hydro
CAN0007792,Cultus,42.6009,-80.6048,9.9,Wind,wind
CAN0007785,Côte-Sainte-Catherine-1-2-3,45.4066,-73.5691,11.1,Hydro,hydro
CAN0008591,Côte-de-Beaupré,47.3006,-70.881,23.5,Wind,wind
CAN0007796,Daniel-Larocque (Mont-Laurier),46.5547,-75.4999,2.7,Hydro,hydro
CAN0002043,Darlington,43.8697,-78.7239,3740.0,Nuclear,nuclear
CAN0007797,Dave Rampel Solar Park,48.7152,-94.2518,10.0,Solar,solar
CAN0007798,David Brown Solar Park,45.0085,-74.9996,10.0,Solar,solar
CAN0002135,De l'Érable,46.1059,-71.6839,100.0,Wind,wind
CAN0007800,Decew Falls 1,43.1183,-79.2643,23.0,Hydro,hydro
CAN0002136,Decew Falls 2,43.1189,-79.2612,144.0,Hydro,hydro
CAN0002138,Des Moulins I,46.1637,-71.3546,135.7,Wind,wind
CAN0007805,Des Moulins II,48.0433,-67.5268,21.2,Wind,wind
CAN0002139,Des-Joachims,46.1827,-77.697,429.0,Hydro,hydro
CAN0002044,Destec - Kingston,44.2098,-76.7247,140.0,Gas,gas
CAN0007811,Discoverylight,44.4384,-79.0681,10.0,Solar,solar
CAN0007814,Dolbeau,48.8794,-72.2174,26.5,Biomass,biomass
CAN0007815,Domtar - Windsor,45.5658,-71.981,30.0,Biomass,biomass
CAN0007816,Domtar Espanola Mill,46.2697,-81.7706,18.0,Hydro,hydro
CAN0007818,Donnacona,46.6785,-71.7458,4.8,Hydro,hydro
CAN0007819,Douglas Creek,49.7676,-122.151,27.0,Hydro,hydro
CAN0007820,Drummondville,45.8869,-72.4841,16.0,Hydro,hydro
CAN0007822,Dufferin,45.5844,-75.4178,40.6,Hydro,hydro
CAN0007821,Dufferin,44.2134,-80.2673,91.4,Wind,wind
CAN0007823,Dunford,47.9069,-84.7156,45.0,Hydro,hydro
CAN1060255,Dupont Maitland,44.6334,-75.616,50.0,Gas,gas
CAN0007825,Eagle River,49.7911,-93.1969,1.8,Hydro,hydro
CAN0007826,Earthlight,44.2875,-79.2834,10.0,Solar,solar
CAN0007827,East Angus,45.4827,-71.6623,2.3,Hydro,hydro
CAN0007828,East Durham,44.1972,-80.7005,22.4,Wind,wind
CAN0007830,East LFG,43.1216,-79.1739,1.0,Biomass,biomass
CAN0007829,East Lake St. Clair,42.4776,-82.3603,99.0,Wind,wind
CAN1060264,East Windsor Cogeneration,42.3258,-83.0005,92.0,Gas,gas
CAN0007836,Eastview LFG,43.5741,-80.2323,1.7,Biomass,biomass
CAN0007837,Eddy Ottawa (Powerhouses 2 & 3),45.4208,-75.7185,9.2,Hydro,hydro
CAN0007838,Edmundston,47.3626,-68.3236,9.0,Hydro,hydro
CAN0007839,Effisolar Beckwith,45.0564,-76.0795,10.0,Solar,solar
CAN0007841,Elko,49.2901,-115.1046,12.0,Hydro,hydro
CAN0007842,Elliot Chute,46.0602,-79.3894,2.0,Hydro,hydro
CAN0007843,Elmsley East / West,44.8406,-76.0866,24.0,Solar,solar
CAN0008597,Elora,43.6809,-80.4329,1.0,Hydro,hydro
CAN0007844,Enbridge Tilbury,42.2741,-82.4267,5.0,Solar,solar
CAN0007845,Erie Ridge,42.4454,-81.8504,9.4,Solar,solar
CAN0007846,Erie Shores,42.6476,-80.7695,99.0,Wind,wind
CAN0007847,Erieau,42.3011,-82.0047,99.0,Wind,wind
CAN0007848,Ernestown,44.228,-76.7195,10.0,Wind,wind
CAN0007849,Espanola Mill,46.2691,-81.7672,25.0,Biomass,biomass
CAN0007850,Eugenia,44.3398,-80.537,6.0,Hydro,hydro
CAN0007853,Fenelon Falls,44.5356,-78.7373,2.6,Hydro,hydro
CAN0007855,Ferndale,44.9465,-81.2632,5.1,Wind,wind
CAN0007856,Fire Creek,49.7834,-122.2347,23.0,Hydro,hydro
CAN0007857,First Light I,44.2904,-76.9257,9.1,Solar,solar
CAN0007858,First Light II,44.2984,-76.9425,10.4,Solar,solar
CAN0007862,Fort Frances,48.6091,-93.4023,9.4,Hydro,hydro
CAN0007863,Fort William,48.3603,-89.2536,10.9,Solar,solar
CAN0007864,Fotolight,44.0199,-77.094,10.0,Solar,solar
CAN0007866,Frampton,46.4445,-70.737,24.0,Wind,wind
CAN0007867,Frankford,44.1865,-77.5945,3.0,Hydro,hydro
CAN0007868,Fraser,47.841,-69.5317,2.9,Hydro,hydro
CAN0007869,Fraser Richmond Soil & Fiber,49.1597,-123.0378,1.0,Biomass,biomass
CAN0007870,Frogmore,42.6069,-80.6598,9.9,Wind,wind
CAN0007871,Front Line,42.3964,-81.8657,9.0,Wind,wind
CAN0007872,Frontenac,45.4023,-71.8984,2.2,Hydro,hydro
CAN0007873,Furry Creek,49.5793,-123.202,10.0,Hydro,hydro
CAN1060359,GTAA Cogeneration,43.6911,-79.6105,90.0,Gas,gas
CAN0007876,Galetta,45.4262,-76.2537,1.6,Hydro,hydro
CAN0007877,Ganaraska,44.0197,-78.581,17.6,Wind,wind
CAN0007878,Gartshore,47.2402,-84.5835,23.0,Hydro,hydro
CAN0007879,Gatineau (Bowater),45.4792,-75.6552,15.0,Biomass,biomass
CAN0007880,Geisler Falls / Corkery Falls,45.9879,-79.419,2.9,Hydro,hydro
CAN0007881,Gesner,42.5193,-81.7571,10.0,Wind,wind
CAN0007885,Gitchi Animki Bezhig,48.6439,-85.7659,8.9,Hydro,hydro
CAN0007886,Gitchi Animki Niizh,48.5977,-85.8779,10.0,Hydro,hydro
CAN0007887,Gitzler Falls,46.0022,-79.4247,1.2,Hydro,hydro
CAN0007890,Glen Miller,44.1525,-77.5819,8.0,Hydro,hydro
CAN0007891,Glenarm,44.4633,-78.9662,10.0,Solar,solar
CAN0007892,Glenford,46.8385,-71.9405,5.0,Hydro,hydro
CAN0007895,Goldlight,44.2878,-79.2936,10.0,Solar,solar
CAN0007896,Goodlight,44.5117,-78.992,10.0,Solar,solar
CAN0002050,Goreway,43.7465,-79.6799,875.0,Gas,gas
CAN0007897,Gosfield,42.1269,-82.6835,50.6,Wind,wind
CAN0002147,Goshen,43.2986,-81.6144,102.4,Wind,wind
CAN0007899,Goulais,46.6615,-84.3587,25.3,Wind,wind
CAN0007900,Gracey,42.2718,-82.4882,10.0,Wind,wind
CAN0007901,Grand Bend,43.3937,-81.6578,99.3,Wind,wind
CAN0007903,Grand Falls / Grand Sault,47.0429,-67.7369,66.0,Hydro,hydro
CAN0002149,Grand Renewable Energy Park,42.8814,-79.7879,149.0,Wind,wind
CAN0002150,Grand Renewable Energy Park,42.8883,-79.819,100.0,Solar,solar
CAN0007907,Grand Valley I / II,44.0078,-80.3556,19.8,Wind,wind
CAN0007908,Grand Valley III,43.9294,-80.3437,40.1,Wind,wind
CAN0007911,Grand-Mère,46.6152,-72.6793,67.0,Hydro,hydro
CAN0007910,Grande-Dame,45.2727,-72.1054,1.7,Hydro,hydro
CAN1060348,Grandview,45.2727,-66.0677,90.0,Gas,gas
CAN0007915,Green River,47.4684,-68.2354,3.0,Hydro,hydro
CAN0002051,Greenfield Energy Centre,42.7701,-82.4528,1005.0,Gas,gas
CAN0007917,Greenwich,48.7606,-88.7667,98.9,Wind,wind
CAN0007918,Grey Highlands,44.3085,-80.3138,18.5,Wind,wind
CAN0008600,Grey Highlands Zero Emission People (Zep),44.314,-80.289,10.0,Wind,wind
CAN0007919,Grimsby Bioreactor,43.1474,-79.5389,1.0,Biomass,biomass
CAN0007922,Gunn's Hill,43.0858,-80.7142,18.0,Wind,wind
CAN0007923,HAF Energy,43.122,-79.7108,9.0,Wind,wind
CAN0007956,HPG Site A,43.9294,-78.5454,2.0,Solar,solar
CAN0007924,Hagues Reach,44.2752,-77.7954,4.0,Hydro,hydro
CAN0002053,Halton Hills,43.5613,-79.8447,712.0,Gas,gas
CAN0007926,Hamilton (Digester Gas) Cogenertion,43.2534,-79.77,1.6,Biomass,biomass
CAN0007927,Hanna Chute,45.0008,-79.2977,1.0,Hydro,hydro
CAN0007928,Harmac,49.1385,-123.8571,55.0,Biomass,biomass
CAN0007930,Harris,47.9572,-84.8303,12.0,Hydro,hydro
CAN0007931,Harrow,42.0323,-82.9618,39.6,Wind,wind
CAN0007933,Hartland LFG,48.5392,-123.4624,2.0,Biomass,biomass
CAN0007934,Haute-Yamaska-Roland Thibault Cogeneration,45.4634,-72.7809,3.0,Biomass,biomass
CAN0007935,Healey Falls,44.373,-77.7787,18.0,Hydro,hydro
CAN0007939,Heywood,43.199,-79.2646,7.2,Hydro,hydro
CAN0007941,High Falls,48.4434,-92.3562,5.4,Hydro,hydro
CAN0002155,High Falls (Lièvre),45.8396,-75.6456,114.1,Hydro,hydro
CAN0007943,High Falls (OPG),44.9538,-76.6087,3.0,Hydro,hydro
CAN0007944,High Falls (Worthington),46.3792,-81.5696,19.3,Hydro,hydro
CAN0007949,Hogg,47.2134,-84.6188,18.0,Hydro,hydro
CAN0007950,Hollingsworth,47.9605,-84.504,23.0,Hydro,hydro
CAN0007954,Hound Chute,47.3047,-79.6966,9.0,Hydro,hydro
CAN0002156,Howe Sound Pulp & Paper Corp,49.522,-123.4862,112.0,Biomass,biomass
CAN0007957,Hull (Chute Des Chaudières),45.4235,-75.7207,12.0,Hydro,hydro
CAN0007958,Hull-2,45.4217,-75.7197,27.0,Hydro,hydro
CAN0007959,Humber Treatment Plant,43.6333,-79.4806,4.7,Biomass,biomass
CAN0007960,Huron,44.3115,-81.5463,9.0,Wind,wind
CAN0007963,Illumination,44.0636,-78.8664,10.0,Solar,solar
CAN0007964,Index Energy Mills Road Corp,43.8474,-79.0249,17.8,Biomass,biomass
CAN0007965,Ingersoll 1,43.088,-80.8462,9.5,Solar,solar
CAN0007968,Iona Island Wwtp LFG,49.2186,-123.2015,4.0,Biomass,biomass
CAN0002056,Iroquois Falls,48.7692,-80.6666,131.0,Gas,gas
CAN0007970,Iroquois Falls,48.7638,-80.6688,29.0,Hydro,hydro
CAN0007971,Island Falls (H2O),49.5772,-81.3821,38.0,Hydro,hydro
CAN0002158,Isle-Maligne,48.5771,-71.6347,463.8,Hydro,hydro
CAN0002159,Jardin d'Éole,48.7355,-67.6658,133.3,Wind,wind
CAN0007976,Jean-Guérin,46.6353,-71.0477,5.9,Hydro,hydro
CAN0002160,Jean-Lesage (Manic-2),49.3213,-68.3467,1229.0,Hydro,hydro
CAN0002162,Jericho,43.1333,-81.8938,149.0,Wind,wind
CAN0007980,Jim-Gray,48.6987,-71.2125,63.0,Hydro,hydro
CAN0007981,Joey-Tanenbaum,45.8781,-76.6961,17.0,Hydro,hydro
CAN0007983,Jones Falls,44.5476,-76.2367,2.4,Hydro,hydro
CAN0007984,Jonquière,48.4167,-71.2555,4.9,Hydro,hydro
CAN0007985,Jonquière 1,48.4221,-71.2534,4.5,Hydro,hydro
CAN0002164,Jordan River,48.4297,-124.0523,170.0,Hydro,hydro
CAN0002165,K2 Wind,43.9373,-81.6399,270.0,Wind,wind
CAN0007989,Kakabeka,48.3975,-89.6165,25.0,Hydro,hydro
CAN0007991,Kap Solar Park,49.375,-82.3928,6.0,Solar,solar
CAN0007992,Kapuskasing,49.4131,-82.4299,2.8,Hydro,hydro
CAN0007996,Kenora,49.7725,-94.5035,6.0,Hydro,hydro
CAN0007997,Kent Breeze,42.5452,-82.0506,20.0,Wind,wind
CAN0008000,Kettles Hill,49.5159,-113.8218,63.0,Wind,wind
CAN0008001,Kimberley,49.669,-115.9476,1.0,Solar,solar
CAN0008002,Kingsbridge 1,43.8589,-81.692,39.6,Wind,wind
CAN0008003,Kingston Gardiner Hwy2 North,44.2966,-76.633,10.0,Solar,solar
CAN0008004,Kingston Gardiner Hwy2 South,44.2712,-76.6719,10.0,Solar,solar
CAN0008005,Kingston Gardiner TS Odessa,44.2653,-76.7686,10.0,Solar,solar
CAN0008006,Kingston Gardiner TS Unity Road,44.3201,-76.5667,10.0,Solar,solar
CAN0008007,Kingston Mills,44.2934,-76.4405,1.9,Hydro,hydro
CAN0002060,Kirkland G1-G5,48.135,-80.0405,122.0,Gas,gas
CAN0002171,Kootenay Canal,49.4533,-117.5179,570.0,Hydro,hydro
CAN0008011,Kruger Products Paper Mill,49.2013,-122.9366,14.0,Biomass,biomass
CAN0002172,La Gabelle,46.4491,-72.7393,131.0,Hydro,hydro
CAN0008018,La Mitis,48.3694,-67.8251,24.6,Wind,wind
CAN0008019,La Sarre-1,48.8473,-79.1497,1.1,Hydro,hydro
CAN0002177,La Tuque,47.4446,-72.7987,294.0,Hydro,hydro
CAN0002178,Lac-Alfred,48.4194,-67.7137,300.0,Wind,wind
CAN0008023,Lachenaie Landfill,45.7326,-73.5346,4.0,Biomass,biomass
CAN0008024,Lachute LFG,45.6093,-74.2492,10.0,Biomass,biomass
CAN0008027,Lafleche LFG,45.3044,-74.9928,4.2,Biomass,biomass
CAN0008031,Lake Buntzen 1,49.3706,-122.8736,59.0,Hydro,hydro
CAN0008032,Lake Buntzen 2,49.3757,-122.8684,17.8,Hydro,hydro
CAN0002061,Lake Superior,46.5158,-84.3689,110.0,Gas,gas
CAN0008033,Lakefield,44.421,-78.2722,2.0,Hydro,hydro
CAN0008035,Lamont Creek,49.569,-122.3446,27.0,Hydro,hydro
CAN0008038,Le Granit,45.6994,-70.58,24.6,Wind,wind
CAN0008609,Le Nordais (Phase 1 - Cap Chat),49.0673,-66.7573,56.3,Wind,wind
CAN0008039,Le Nordais 2 (Matane),48.7816,-67.6097,42.8,Wind,wind
CAN0002181,Le Plateau 1,48.0503,-67.4303,138.6,Wind,wind
CAN0008041,Le Plateau 2,48.0532,-67.4782,21.2,Wind,wind
CAN0002062,Lennox,44.1442,-76.848,2000.0,Gas,gas
CAN0002182,Les Cèdres,45.3089,-74.0273,113.0,Hydro,hydro
CAN0008045,Lethbridge,49.7094,-112.7742,4.0,Biomass,biomass
CAN0008046,Liberty Energy Centre,43.2608,-79.792,11.4,Biomass,biomass
CAN0008047,Lily Lake,44.3136,-78.3926,10.0,Solar,solar
CAN0008051,Liskeard 1,47.5126,-79.708,10.0,Solar,solar
CAN0008052,Liskeard 3,47.49,-79.7115,10.0,Solar,solar
CAN0008053,Liskeard 4,47.5049,-79.7115,10.0,Solar,solar
CAN0008055,Little River Harbour,43.7532,-66.0303,2.0,Wind,wind
CAN0008057,Lois Lake,49.7699,-124.317,37.0,Hydro,hydro
CAN0008058,London Street,44.3114,-78.3143,4.1,Hydro,hydro
CAN0008060,Long Sault Rapids,49.2136,-81.0204,18.0,Hydro,hydro
CAN0008062,Longlac Biomass Cogeneration,49.7678,-86.5421,25.0,Biomass,biomass
CAN0008063,Longueil TS Malbouef,45.574,-74.8192,10.0,Solar,solar
CAN0008610,Lorenzetta Creek,49.3277,-121.6013,3.0,Hydro,hydro
CAN0008065,Lower Bear,49.748,-123.5159,10.0,Hydro,hydro
CAN0008066,Lower Bonnington,49.4617,-117.5004,54.0,Hydro,hydro
CAN0008067,Lower Clowhom,49.8176,-123.3973,11.0,Hydro,hydro
